Gene,Accuracy,Balanced Accuracy,Precision,Recall,F1 score:
C9orf144,0.92000,0.60000,0.92653,0.92000,0.89504
PURG,0.90000,0.50000,0.81000,0.90000,0.85263
CCDC23,0.88000,0.48889,0.80816,0.88000,0.84255
FNDC4,0.90000,0.67778,0.89130,0.90000,0.89499
PSMA1,0.90000,0.50000,0.81000,0.90000,0.85263
ATXN7L3B,0.88000,0.66667,0.88000,0.88000,0.88000
RAB5B,0.92000,0.60000,0.92653,0.92000,0.89504
PEX11A,0.94000,0.78889,0.93587,0.94000,0.93700
FNTB,0.90000,0.50000,0.81000,0.90000,0.85263
ITSN1,0.92000,0.68889,0.90922,0.92000,0.91087
